File,Dataset,predict_time,predict_throughput,histogram_time,histogram_throughput,huff-enc_time,huff-enc_throughput,(subtotal)_time,(subtotal)_throughput,book_time,book_throughput,(total)_time,(total)_throughput
zz.f32,HACC,0.758,33.238,0.401,68.942,0.698,36.532,1.857,13.608,0.362,66.67,2.22,11.24
vy.f32,HACC,0.821,30.336,0.293,82.716,0.7,34.86,1.814,13.506,0.367,66.05,2.181,11.182
xx.f32,HACC,0.735,33.906,0.26,93.364,0.665,37.254,1.66,14.63,0.296,81.71,1.956,12.398
vx.f32,HACC,0.993,28.9,0.346,78.938,0.775,34.29,2.115,13.044,0.387,63.58,2.502,10.636
vz.f32,HACC,0.796,30.67,0.34,78.212,0.833,31.044,1.968,12.702,0.366,65.918,2.335,10.598
QVAPORf48.bin.f32,HURR,1.056,25.804,0.504,56.68,1.003,29.23,2.564,10.794,0.413,61.052,2.977,9.128
QCLOUDf48.log10.bin.f32,HURR,0.784,32.17,0.254,95.404,0.596,40.908,1.634,15.066,0.38,63.996,2.015,12.18
QGRAUPf48.log10.bin.f32,HURR,0.948,26.736,0.603,71.494,0.83,32.51,2.381,11.45,0.396,62.024,2.777,9.604
QRAINf48.bin.f32,HURR,1.115,29.104,0.379,73.662,0.977,28.492,2.472,11.08,0.373,64.726,2.845,9.32
CLOUDf48.log10.bin.f32,HURR,0.836,29.164,0.439,63.734,0.75,35.752,2.026,12.522,0.373,64.892,2.398,10.45
QCLOUDf48.bin.f32,HURR,0.984,25.84,0.354,74.704,0.756,35.71,2.095,12.128,0.398,61.28,2.492,10.042
TCf48.bin.f32,HURR,0.944,31.88,0.349,75.436,0.858,34.64,2.151,13.506,0.404,60.702,2.555,10.964
QSNOWf48.log10.bin.f32,HURR,0.848,30.112,0.278,88.284,0.626,38.916,1.753,14.042,0.354,68.132,2.107,11.616
CLOUDf48.bin.f32,HURR,0.779,32.8,0.26,94.446,0.586,41.222,1.625,15.096,0.363,66.456,1.989,12.278
QICEf48.log10.bin.f32,HURR,0.831,30.168,0.378,76.318,0.726,37.302,1.936,13.348,0.362,66.656,2.298,11.042
Wf48.bin.f32,HURR,0.701,35.042,0.352,75.97,0.813,35.802,1.866,14.182,0.358,67.454,2.224,11.64
PRECIPf48.log10.bin.f32,HURR,0.845,29.4,0.348,79.442,0.761,34.798,1.954,12.986,0.37,65.538,2.324,10.758
QGRAUPf48.bin.f32,HURR,0.835,29.988,0.453,61.534,1.385,24.75,2.673,10.756,0.369,65.686,3.042,9.098
PRECIPf48.bin.f32,HURR,0.745,33.382,0.266,90.916,1.088,29.472,2.1,12.564,0.365,66.272,2.465,10.458
Vf48.bin.f32,HURR,0.811,31.052,0.314,79.458,0.655,37.44,1.78,13.794,0.374,64.718,2.154,11.336
QICEf48.bin.f32,HURR,0.695,34.976,0.293,83.37,0.946,34.322,1.933,13.662,0.362,66.886,2.295,11.228
QSNOWf48.bin.f32,HURR,0.736,33.518,0.446,61.202,0.83,31.658,2.012,12.658,0.28,86.392,2.292,10.97
Pf48.bin.f32,HURR,0.839,30.394,0.703,74.808,0.748,36.946,2.29,12.796,0.395,62.04,2.686,10.498
Uf48.bin.f32,HURR,0.767,32.866,0.266,92.08,0.584,41.414,1.616,15.146,0.378,63.936,1.994,12.214
